"consumption_data","consumption_data_unit","consumption_data_unit_id","emission_factor","emission_factor_unit","emission_tCO2e","starting_year","organisation_id","emission_type_id","emission_type","emission_source_id","emission_source","scope_id","scope","comment"
10.0,"tonnes",681547,446.2041084203168,"kg CO2e/tonnes",4.462041084203168,2022,3999112,8140,"Waste",91275187,"Household/Municipal/Domestic waste - Landfill",4313,"Scope 3",""
233.0,"tonnes",681547,21.28019379844961,"kg CO2e/tonnes",4.958285155038759,2022,3999112,8140,"Waste",91275225,"Paper and board: mixed - Recycled",4313,"Scope 3","Dry Mixed Recyling"
17.6,"tonnes",681547,21.28019379844961,"kg CO2e/tonnes",0.3745314108527132,2022,3999112,8140,"Waste",91275272,"Wood - Recycled",4313,"Scope 3","Furniture repurposed"
6.3,"tonnes",681547,21.28019379844961,"kg CO2e/tonnes",0.13406522093023251,2022,3999112,8140,"Waste",91275265,"WEEE - mixed - Recycled",4313,"Scope 3",""
79.9,"tonnes",681547,21.28019379844961,"kg CO2e/tonnes",1.7002874844961238,2022,3999112,8140,"Waste",91275229,"Paper and board: paper - Recycled",4313,"Scope 3","Confidential Waste stream"
351.0,"tonnes",681547,21.28019379844961,"kg CO2e/tonnes",7.469348023255813,2022,3999112,8140,"Waste",91275225,"Paper and board: mixed - Recycled",4313,"Scope 3","Residual Waste - recycled up to 96%"
0.922,"tonnes",681547,8.883271317829458,"kg CO2e/tonnes",0.00819037615503876,2022,3999112,8140,"Waste",91275167,"Batteries - Landfill",4313,"Scope 3",""
6.41,"tonnes",681547,297.0,"kg CO2e/tonnes",1.90377,2022,3999112,8140,"Waste",91275175,"Clinical Waste - Yellow Stream",4313,"Scope 3","Pharmacuitical waste (reported seperate for tracking purposes)"
2.95,"tonnes",681547,21.28019379844961,"kg CO2e/tonnes",0.06277657170542635,2022,3999112,8140,"Waste",91275179,"Commercial and industrial waste - Combustion",4313,"Scope 3","Chemical Waste"
5036.0,"passenger.km",681545,0.24586999999999998,"kg CO2e/passenger.km",1.23820132,2022,3999112,8142,"Transport - public",91275116,"Flights - Domestic, to/from UK - Average passenger",4313,"Scope 3","Employee"
23297.0,"passenger.km",681545,0.18362,"kg CO2e/passenger.km",4.27779514,2022,3999112,8142,"Transport - public",91275117,"Flights - International, to/from non-UK - Average passenger",4313,"Scope 3","Employee"
9100.0,"passenger.km",681545,0.24586999999999998,"kg CO2e/passenger.km",2.2374169999999998,2022,3999112,8142,"Transport - public",91275116,"Flights - Domestic, to/from UK - Average passenger",4313,"Scope 3","Patient out of area transport"
482503.0,"miles",681543,0.27492,"kg CO2e/miles",132.64972476,2022,3999112,8141,"Transport - car",91275079,"Average car - Diesel",4313,"Scope 3","Business Travel Miles Claimed"
10091.0,"miles",681543,0.27464999999999995,"kg CO2e/miles",2.7714931499999995,2022,3999112,8141,"Transport - car",91275082,"Average car - Unknown",4313,"Scope 3","Business Travel Miles Claimed"
18823.0,"miles",681543,0.08272,"kg CO2e/miles",1.55703856,2022,3999112,8141,"Transport - car",91275077,"Average business travel car - Battery Electric Vehicle",4314,"Combined Scopes (for Electric Vehicles only)","Business Travel Miles Claimed"
25004.0,"miles",681543,0.19318,"kg CO2e/miles",4.83027272,2022,3999112,8141,"Transport - car",91275080,"Average car - Hybrid",4313,"Scope 3","Business Travel Miles Claimed"
850039.0,"miles",681543,0.27436000000000005,"kg CO2e/miles",233.21670004000006,2022,3999112,8141,"Transport - car",91275081,"Average car - Petrol",4313,"Scope 3","Business Travel Miles Claimed"
40546.0,"miles",681543,0.27464999999999995,"kg CO2e/miles",11.135958899999999,2022,3999112,8141,"Transport - car",91275082,"Average car - Unknown",4311,"Scope 1","Grey Fleet"
41362.0,"miles",681543,0.27492,"kg CO2e/miles",11.371241040000001,2022,3999112,8141,"Transport - car",91275079,"Average car - Diesel",4311,"Scope 1","Grey Fleet"
8572.0,"miles",681543,0.0,"kg CO2e/miles",0,2022,3999112,8141,"Transport - car",91275083,"Average fleet car - Battery Electric Vehicle",4314,"Combined Scopes (for Electric Vehicles only)","Grey Fleet"
638832.0,"miles",681543,0.27436000000000005,"kg CO2e/miles",175.26994752000004,2022,3999112,8141,"Transport - car",91275081,"Average car - Petrol",4311,"Scope 1","Grey Fleet"
325.0,"passenger.km",681545,0.027809999999999998,"kg CO2e/passenger.km",0.00903825,2022,3999112,8142,"Transport - public",91275134,"London Underground",4313,"Scope 3","Patient out of area transport"
1942.0,"passenger.km",681545,0.03549,"kg CO2e/passenger.km",0.06892158000000001,2022,3999112,8142,"Transport - public",91275135,"National rail",4313,"Scope 3","Patient out of area transport"
1107.0,"passenger.km",681545,0.10778000000000001,"kg CO2e/passenger.km",0.11931246000000001,2022,3999112,8142,"Transport - public",91275132,"Local bus (not London)",4313,"Scope 3","Employee Tranport "
18302.52,"passenger.km",681545,0.03549,"kg CO2e/passenger.km",0.6495564348,2022,3999112,8142,"Transport - public",91275135,"National rail",4313,"Scope 3","Employee Transport "
29350.0,"miles",681543,0.37268,"kg CO2e/miles",10.938158,2022,3999112,8143,"Transport - van/HGV",91275151,"Vans - Average (up to 3.5 tonnes) - Diesel",4311,"Scope 1","Fleet"
2000.0,"miles",681543,0.3433,"kg CO2e/miles",0.6866,2022,3999112,8143,"Transport - van/HGV",91275152,"Vans - Average (up to 3.5 tonnes) - Petrol",4311,"Scope 1","Fleet"
80650.0,"miles",681543,0.10019,"kg CO2e/miles",8.0803235,2022,3999112,8143,"Transport - van/HGV",91275137,"Business Travel Van - Average (up to 3.5 tonnes) - Battery Electric Vehicle",4314,"Combined Scopes (for Electric Vehicles only)","Fleet"
227400.0,"miles",681543,0.27492,"kg CO2e/miles",62.516808,2022,3999112,8141,"Transport - car",91275079,"Average car - Diesel",4311,"Scope 1","Fleet"
3000.0,"miles",681543,0.27436000000000005,"kg CO2e/miles",0.8230800000000001,2022,3999112,8141,"Transport - car",91275081,"Average car - Petrol",4311,"Scope 1","Fleet"
43200.0,"miles",681543,0.19318,"kg CO2e/miles",8.345376,2022,3999112,8141,"Transport - car",91275080,"Average car - Hybrid",4311,"Scope 1","Fleet"
164100.0,"miles",681543,0.08272,"kg CO2e/miles",13.574352000000001,2022,3999112,8141,"Transport - car",91275077,"Average business travel car - Battery Electric Vehicle",4314,"Combined Scopes (for Electric Vehicles only)","Fleet"
154.38,"kg",681537,2088.0,"kg CO2e/kg",322.34544,2022,3999112,8139,"Refrigerants",91275028,"R410A",4311,"Scope 1","F Gas Register "
38.74,"kg",681537,1774.0,"kg CO2e/kg",68.72476,2022,3999112,8139,"Refrigerants",91275027,"R407C",4311,"Scope 1","F Gas Register "
